word,term_id
kombucha,0
zabaion,1
read,2
angelo,3
tunnel,4
newer,5
bologna,6
theme,7
girl,8
finocchiaro,9
lo,10
focacceria,11
signatur,12
giardinetto,13
typic,14
amus,15
potato,16
attract,17
grassi,18
rita,19
museo,20
triumph,21
rule,22
rospigliosi,23
trasimeno,24
sanità,25
rocket,26
quantiti,27
catinaccio,28
sculptor,29
fassona,30
sheep,31
bollita,32
signorini,33
arva,34
fior,35
vine,36
raspberri,37
da,38
vespasia,39
ferran,40
waltz,41
amidst,42
relev,43
london,44
ceraudo,45
vesuviu,46
valtellino,47
sever,48
clientel,49
mirko,50
suspend,51
helm,52
doubt,53
offshoot,54
forerunn,55
viviana,56
forbu,57
taratatà,58
hostelri,59
isabella,60
french,61
manti,62
cicetta,63
outstand,64
signum,65
chemic,66
chiaracia,67
vernaccia,68
hardli,69
rare,70
rank,71
soul,72
macello,73
ruffl,74
arco,75
paulo,76
request,77
angelina,78
boil,79
mattei,80
régi,81
funicular,82
fact,83
marbl,84
pecorino,85
reduct,86
pivot,87
passeggiata,88
manuel,89
crouton,90
tonic,91
fabbro,92
succe,93
botan,94
sensazioni,95
vet,96
intellig,97
label,98
aeolian,99
rebirth,100
hour,101
boeri,102
sorbet,103
simpl,104
dolomieu,105
trattoria,106
merlot,107
bottl,108
sylvan,109
filippino,110
andora,111
sky,112
trovato,113
soil,114
partial,115
morn,116
junction,117
gift,118
eleg,119
bulk,120
mari,121
crunchi,122
interact,123
aloi,124
famousgallegaandwagyu,125
franca,126
lambrusco,127
spatula,128
dinato,129
honour,130
limeston,131
flavia,132
tino,133
ferreri,134
gualtieri,135
paella,136
octopu,137
predomin,138
birth,139
petru,140
infus,141
sirmiano,142
corfu,143
specif,144
montreal,145
snow,146
mahogani,147
panoram,148
bake,149
larossa,150
puglian,151
comfort,152
chandeli,153
genoves,154
vita,155
bouillabaiss,156
mile,157
inmat,158
sixti,159
heinrich,160
rend,161
feltrinelli,162
nina,163
tile,164
expon,165
chines,166
starter,167
zarri,168
amo,169
si,170
greec,171
mattiacci,172
peke,173
latter,174
belveder,175
magistà,176
antechamb,177
cantucci,178
croton,179
recent,180
masanti,181
path,182
papavero,183
music,184
vilòn,185
isid,186
langosteria,187
husband,188
valentia,189
juic,190
loaf,191
massucco,192
asbacari,193
modesti,194
soya,195
milanesi,196
precis,197
vesta,198
pete,199
artusi,200
sign,201
girella,202
andré,203
ernesto,204
farra,205
uphold,206
banner,207
brunello,208
marini,209
tortelli,210
marra,211
albeit,212
sho,213
tavern,214
aragones,215
settepiatti,216
courtesi,217
biscuit,218
martina,219
meati,220
much,221
focus,222
tropea,223
fulfil,224
get,225
panna,226
andrea,227
agavi,228
passignano,229
mazzorbo,230
note,231
biancu,232
directli,233
seral,234
pinerolo,235
send,236
pavan,237
bernes,238
itali,239
alongsid,240
slide,241
riccardo,242
instantli,243
firm,244
link,245
coniglio,246
fasano,247
lead,248
whitewash,249
stori,250
bastion,251
ostiens,252
unexpectedli,253
thegrand,254
grandmoth,255
sella,256
technolog,257
stüa,258
splendid,259
tire,260
tour,261
leopard,262
maccheroncini,263
thread,264
santuario,265
danc,266
farewel,267
lord,268
shorelin,269
mao,270
luppi,271
laticauda,272
adig,273
wallpap,274
verdi,275
capitano,276
coconut,277
keep,278
pont,279
grappa,280
montebor,281
robuchon,282
zito,283
paraggi,284
evidenc,285
rye,286
reggia,287
inde,288
pontoon,289
polystyren,290
simplic,291
gualdo,292
banfi,293
meringu,294
majolica,295
triest,296
kerm,297
cappuccino,298
all,299
così,300
depot,301
alpago,302
asou,303
skier,304
toni,305
wooden,306
ztl,307
guidi,308
mediterranean,309
senal,310
frill,311
profil,312
carta,313
synagogu,314
accomplish,315
langoustin,316
gaetano,317
turnip,318
edoardo,319
donei,320
last,321
remark,322
orlando,323
gilmozzi,324
baretto,325
nation,326
hazel,327
cereal,328
chitterl,329
gate,330
trade,331
varena,332
arso,333
falco,334
galleri,335
paragon,336
umbria,337
problem,338
wafer,339
intens,340
imagna,341
pensando,342
bergeretto,343
southernmost,344
renownedsbrisolonacak,345
protect,346
repertoir,347
walnut,348
battisti,349
metronom,350
eat,351
extend,352
cervo,353
fonduta,354
situat,355
filindeu,356
cuor,357
dv,358
thebaccalà,359
scuncilli,360
piano,361
cristo,362
mura,363
bartolini,364
bottura,365
includingsorbir,366
karim,367
pezzuto,368
montani,369
tarquinia,370
snail,371
yoghurt,372
chocol,373
nut,374
annurca,375
vibe,376
dalla,377
cestello,378
cala,379
benjamin,380
doorway,381
season,382
princip,383
torri,384
geiser,385
fidati,386
summertim,387
sixth,388
rock,389
stool,390
payabl,391
fortifi,392
radiu,393
vares,394
baccala,395
cicchetti,396
ramata,397
brill,398
tumbl,399
calabria,400
ten,401
wide,402
crab,403
demand,404
donna,405
som,406
remulass,407
terra,408
fernando,409
pietro,410
porceddu,411
post,412
lucca,413
ealai,414
reassur,415
dipino,416
adami,417
faith,418
minimis,419
windsor,420
saffron,421
marzipan,422
gulf,423
coastlin,424
suckl,425
granari,426
henc,427
poet,428
consolata,429
curat,430
costarella,431
abli,432
paradis,433
ritorno,434
byzantin,435
western,436
lazarov,437
blaze,438
lugano,439
reclam,440
sweetbread,441
vin,442
curios,443
papà,444
inedita,445
più,446
challeng,447
spit,448
withsolinawheat,449
po,450
edg,451
calm,452
ciociara,453
tricesimo,454
person,455
psych,456
took,457
gastrosteria,458
display,459
porticciolo,460
mongiat,461
phrase,462
